Common_Name,SMILES,MorganFingerprint,Predicted_Prob,Predicted_Activity
"(3Z)-6-(4-HYDROXY-3-METHOXYPHENYL)-3-(1H-PYRROL-2-YLMETHYLENE)-1,3-DIHYDRO-2H-INDOL-2-ONE",COc1cc(-c2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)ccc1O,[0 0 0 ... 0 0 0],0.9971853,1
PEN-866,CCc1c2c(nc3ccc(OC(=O)N4CCC(CCn5ccc6cc(-n7c(-c8cc(C(C)C)c(O)cc8O)n[nH]c7=O)ccc65)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,[0 1 0 ... 0 0 0],0.99481404,1
"Furo[2,3d]Pyrimidine Antifolate",CN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,[0 1 0 ... 0 0 0],0.99460936,1
Carotegrast methyl,COC(=O)[C@H](Cc1ccc(-n2c(=O)c3cc(N(C)C)ccc3n(C)c2=O)cc1)NC(=O)c1c(Cl)cccc1Cl,[0 1 0 ... 0 0 0],0.99169683,1
"4-{5-[(Z)-(2-Imino-4-Oxo-1,3-Thiazolidin-5-Ylidene)methyl]furan-2-Yl}benzenesulfonamide",N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)cc3)o2)S1,[0 0 0 ... 0 0 0],0.9911243,1
Dirocaftor,C[Si](C)(C)c1cc([Si](C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,[0 0 0 ... 0 0 0],0.9901704,1
Cytidine-5'-Monophosphate-5-N-Acetylneuraminic Acid,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)C[C@@H]1O,[0 1 0 ... 0 0 0],0.9899755,1
"10-Propargyl-5,8-Dideazafolic Acid",C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,[0 1 0 ... 0 0 0],0.9889382,1
E-6005,CNc1nc(-c2cccc(NC(=O)c3ccc(C(=O)OC)cc3)c2)c2cc(OC)c(OC)cc2n1,[0 0 0 ... 0 0 0],0.9888198,1
(E)-3-(5((5-(4-CHLOROPHENYL)FURAN-2-YL)METHYLENE)-4-OXO-2-THIOXOTHIAZOLIDIN-3-YL)PROPANOIC ACID,O=C(O)CCN1C(=O)/C(=C\c2ccc(-c3ccc(Cl)cc3)o2)SC1=S,[0 0 0 ... 0 0 0],0.9885351,1
"2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM",CN(C)c1ccc(-c2sc3cc(O)ccc3[n+]2C)cc1,[0 0 0 ... 0 0 0],0.98831344,1
"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}-2-(TRIFLUOROMETHYL)BENZENESULFONAMIDE",N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(C(F)(F)F)c3)o2)S1,[0 0 0 ... 0 0 0],0.987563,1
"4-{5-[(Z)-(2,4-DIOXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE",NS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)cc1,[0 0 0 ... 0 0 0],0.9875372,1
"8-Benzyl-2-Hydroperoxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One",O=C1N2C=C(c3ccc(O)cc3)N=C(Cc3ccccc3)C2=N[C@@]1(Cc1ccc(O)cc1)OO,[0 0 0 ... 0 0 0],0.9870853,1
Agerafenib,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,[0 0 0 ... 0 0 0],0.9864639,1
Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,[0 0 0 ... 0 0 0],0.9863912,1
"N-[4-(2-CHLOROPHENYL)-1,3-DIOXO-1,2,3,6-TETRAHYDROPYRROLO[3,4-C]CARBAZOL-9-YL]FORMAMIDE",O=CNc1ccc2[nH]c3cc(-c4ccccc4Cl)c4c(c3c2c1)C(=O)NC4=O,[0 0 0 ... 0 0 0],0.9863685,1
Ukrain cation,C[N+]1(CCNP(=S)(NCC[N+]2(C)Cc3c(ccc4c3OCO4)[C@@H]3[C@H]2c2cc4c(cc2C[C@@H]3O)OCO4)NCC[N+]2(C)Cc3c(ccc4c3OCO4)[C@@H]3[C@H]2c2cc4c(cc2C[C@@H]3O)OCO4)Cc2c(ccc3c2OCO3)[C@@H]2[C@H]1c1cc3c(cc1C[C@@H]2O)OCO3,[0 0 0 ... 0 0 0],0.9856947,1
Dacinostat,O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,[0 0 0 ... 0 0 0],0.98543304,1
Methotrexate,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,[0 1 0 ... 0 0 0],0.98418117,1
PBT-434,CCNCc1nc2c(O)c(Cl)cc(Cl)c2c(=O)n1C,[0 0 0 ... 0 0 0],0.98402196,1
Tricetin,O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,[0 0 0 ... 0 0 0],0.983198,1
"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZOIC ACID",N=C1NC(=O)/C(=C/c2ccc(-c3ccc(C(=O)O)cc3)o2)S1,[0 0 0 ... 0 0 0],0.9828179,1
Ocifisertib,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5C[C@@H](C)O[C@@H](C)C5)cc4)n[nH]c3c1)C(=O)N2,[0 0 0 ... 0 0 0],0.982537,1
Ethoxzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,[0 0 0 ... 0 0 0],0.9825293,1
Methopterin,CN(Cc1cnc2nc(N)[nH]c(=O)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,[0 1 0 ... 0 0 0],0.9823852,1
Ivacaftor,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,[0 0 0 ... 0 0 0],0.9820826,1
Deutivacaftor,[2H]C([2H])([2H])C(c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O)(C([2H])([2H])[2H])C([2H])([2H])[2H],[0 0 0 ... 0 0 0],0.9820826,1
Bioymifi,[H]/N=C1/S/C(=C\c2ccc(-c3ccc4c(c3)C(=O)N=C4O)o2)C(=O)N1c1ccc(Br)cc1,[0 0 0 ... 0 0 0],0.9802003,1
Tryptophanyl-5'amp,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)[C@@H](O)[C@H]1O,[0 1 0 ... 0 0 0],0.9795813,1
Quizartinib,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,[0 0 0 ... 0 0 0],0.9794623,1
"N~4~-methyl-N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine",COc1cc(Nc2nccc(N(C)c3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC,[0 0 0 ... 0 0 0],0.9784218,1
RAF-265,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,[0 0 0 ... 0 0 0],0.9781105,1
Elinogrel,CNc1cc2[nH]c(=O)n(-c3ccc(NC(=O)NS(=O)(=O)c4ccc(Cl)s4)cc3)c(=O)c2cc1F,[0 0 0 ... 0 0 0],0.97776973,1
Setanaxib,CN(C)c1cccc(-c2c3c(=O)n(-c4ccccc4Cl)[nH]c3cc(=O)n2C)c1,[0 0 0 ... 0 0 0],0.9772589,1
Tin protoporphyrin IX,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)[O-])C(CCC(=O)[O-])=C4C)c(C)c3C=C.[Cl-].[Cl-].[Sn+4],[0 0 0 ... 0 0 0],0.97701913,1
Icariin,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,[0 0 0 ... 0 0 0],0.9768857,1
LGD-2226,O=c1cc(C(F)(F)F)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1,[0 0 0 ... 0 0 0],0.9767845,1
"6-(3,4-DIHYDROXYBENZYL)-3-ETHYL-1-(2,4,6-TRICHLOROPHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4(5H)-ONE",CCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c2nc(Cc3ccc(O)c(O)c3)[nH]c(=O)c12,[0 0 0 ... 0 0 0],0.975557,1
12-Phenylheme,C=Cc1c(C)c2[n]3c1C(c1ccccc1)=C1C(C)C(C=C)C4=Cc5c(C)c(CCC(=O)O)c6[n]5[Fe+2]3([N]41)[n]1c(c(C)c(CCC(=O)O)c1=C6)=C2,[0 0 0 ... 0 0 0],0.97513956,1
Dactolisib,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,[0 0 0 ... 0 0 0],0.9746542,1
Metavert,COc1ccc(Nc2nnc(-c3ccc(C(=O)NO)cc3)o2)cc1,[0 0 0 ... 0 0 0],0.9745145,1
4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide,CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1,[0 0 0 ... 0 0 0],0.9737845,1
Verubulin,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1,[0 0 0 ... 0 0 0],0.9728494,1
Balaglitazone,Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O,[0 0 0 ... 0 0 0],0.97262156,1
Tallimustine,Cn1cc(NC(=O)c2cc(NC(=O)c3cc(NC(=O)c4ccc(N(CCCl)CCCl)cc4)cn3C)cn2C)cc1C(=O)NCCC(=N)N,[0 0 0 ... 0 0 0],0.9721382,1
GTX-758,O=C(c1ccc(O)c(F)c1)N(c1ccc(O)cc1)c1ccc(F)cc1,[0 0 0 ... 0 0 0],0.972119,1
4-epi-vancosaminyl derivative of vancomycin,C[NH2+][C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)([NH3+])[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)([NH3+])[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,[0 1 0 ... 0 0 0],0.9720942,1
Oftasceine,O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21,[0 0 0 ... 0 0 0],0.9720929,1
Ellagic acid,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,[0 0 0 ... 0 0 0],0.9719614,1
Dabigatran,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,[0 0 0 ... 0 0 0],0.9717562,1
"4-{[4-(4-fluoro-3-methylphenyl)-1,3-thiazol-2-yl]amino}-2-hydroxybenzoic acid",Cc1cc(-c2csc(Nc3ccc(C(=O)O)c(O)c3)n2)ccc1F,[0 0 0 ... 0 0 0],0.9712922,1
AGN-201904,COc1ccc2c(c1)nc(S(=O)Cc1ncc(C)c(OC)c1C)n2S(=O)(=O)c1ccc(OCC(=O)O)cc1,[0 0 0 ... 0 0 0],0.97088885,1
Volixibat,CCCC[C@]1(CC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2cccc(NC(=O)N[C@@H]3O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3O)c2)[C@H]1O,[0 0 0 ... 0 0 0],0.9703408,1
Ombitasvir,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C,[0 1 0 ... 0 0 0],0.9702459,1
Rebastinib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1,[0 0 0 ... 0 0 0],0.9702266,1
Dazucorilant,O=C(c1ccccn1)[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCN(S(=O)(=O)c1ccc(C(F)(F)F)cc1)C2,[0 0 0 ... 0 0 0],0.9701321,1
Tasquinimod,COc1cccc2c1c(O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(=O)n2C,[0 0 0 ... 0 0 0],0.9694858,1
Trichostatin A,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,[0 1 0 ... 0 0 0],0.9694373,1
Zeranol,C[C@H]1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,[0 0 1 ... 0 0 0],0.96925586,1
2-(4-(2-((3-(5-(PYRIDIN-2-YLTHIO)THIAZOL-2-YL)UREIDO)METHYL)-1H-IMIDAZOL-4-YL)PHENOXY)ACETIC ACID,O=C(O)COc1ccc(-c2c[nH]c(CNC(=O)Nc3ncc(Sc4ccccn4)s3)n2)cc1,[0 0 0 ... 0 0 0],0.9688731,1
"N-[4-(2,4-DIMETHYL-THIAZOL-5-YL)-PYRIMIDIN-2-YL]-N',N'-DIMETHYL-BENZENE-1,4-DIAMINE",Cc1nc(C)c(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)s1,[0 0 0 ... 0 0 0],0.96842897,1
Trimetrexate,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,[0 0 0 ... 0 0 0],0.9674403,1
Birabresib,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2,[0 0 0 ... 0 0 0],0.9663822,1
Morin,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,[0 0 0 ... 0 0 0],0.96471834,1
Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,[0 0 0 ... 0 0 0],0.9645073,1
Epalrestat,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,[0 0 0 ... 0 0 0],0.9641043,1
alpha-Methyl-2-hydroxy-4-diethylaminocinnamic acid,CCN(CC)c1ccc(/C=C(\C)C(=O)O)c(O)c1,[0 0 0 ... 0 0 1],0.9631615,1
Lavendustin b,O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,[0 0 0 ... 0 0 0],0.9631383,1
Baicalein,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,[0 0 0 ... 0 0 0],0.9620239,1
Hispidulin,COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,[0 0 0 ... 0 0 0],0.96196645,1
"N-{3-[5-(1H-1,2,4-triazol-3-yl)-1H-indazol-3-yl]phenyl}furan-2-carboxamide",O=C(Nc1cccc(-c2n[nH]c3ccc(-c4nc[nH]n4)cc23)c1)c1ccco1,[0 0 0 ... 0 0 0],0.9618835,1
Tinostamustine,Cn1c(CCCCCCC(=O)NO)nc2cc(N(CCCl)CCCl)ccc21,[1 0 0 ... 0 0 0],0.9616806,1
CL-315585,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)O)c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,[0 0 0 ... 0 0 0],0.9606039,1
CL-315555,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)c(CCC(=O)OC)c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,[0 0 0 ... 0 0 0],0.9606039,1
Quercetin-3'-O-phosphate,O=c1c(O)c(-c2ccc(O)c(OP(=O)(O)O)c2)oc2cc(O)cc(O)c12,[0 0 0 ... 0 0 0],0.9603159,1
"5R-(3,4-DICHLOROPHENYLMETHYL)-3-(2-THIOPHENESULFONYLAMINO)-4-OXO-2-THIONOTHIAZOLIDINE",O=C1[C@@H](Cc2ccc(Cl)c(Cl)c2)SC(=S)N1NS(=O)(=O)c1cccs1,[0 0 0 ... 0 0 0],0.96017134,1
Methylene blue,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],[0 0 0 ... 0 0 0],0.95971525,1
2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Imino]-5-Phosphono-Pent-3-Enoic Acid,Cc1ncc(COP(=O)(O)O)c(C/N=C(\C=C\CP(=O)(O)O)C(=O)O)c1O,[0 0 0 ... 0 0 0],0.95965356,1
Icaritin,COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1,[0 0 0 ... 0 0 0],0.9595653,1
"N'-[4-(2,4-Dimethyl-1,3-thiazol-5-yl)-2-pyrimidinyl]-N-hydroxyimidoformamide",Cc1nc(C)c(-c2ccnc(/N=C/NO)n2)s1,[0 0 0 ... 0 0 0],0.9594779,1
"4-{4-[3-(2,4-DICHLORO-BENZOYL)-UREIDO]-2,3-DIMETHYL-PHENOXY}-BUTYRIC ACID",Cc1c(NC(=O)NC(=O)c2ccc(Cl)cc2Cl)ccc(OCCCC(=O)O)c1C,[0 0 0 ... 0 0 0],0.9587389,1
Boclatixafortide gallium Ga-68,CN1C(=O)[C@@H](Cc2ccc([O-])cc2)/N=C(\[O-])C/N=C(\O)[C@H](Cc2ccc3ccccc3c2)/N=C(\O)[C@H](CCCNC(=N)N)/N=C(\O)[C@H]1CCCNC(=O)c1ccc(C/N=C(\[O-])CN2CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC2)cc1.[270Ga+3],[0 0 0 ... 0 0 0],0.9586937,1
Pittsburgh Compound B,[11CH3]Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,[0 0 0 ... 0 0 0],0.95858586,1
Zipalertinib,C=CC(=O)N[C@H]1C=C(C)c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2C1,[1 0 0 ... 0 0 0],0.95852846,1
Dotamtate Pb-212,C[C@@H](O)[C@H](N=C(O)[C@@H]1CSSC[C@H](N=C(O)[C@@H](Cc2ccccc2)N=C(O)CN2CCN(CC(=N)O)CCN(CC(=N)[O-])CCN(CC(=N)O)CC2)C(O)=N[C@@H](Cc2ccc([O-])cc2)C(O)=N[C@H](Cc2c[nH]c3ccccc23)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H]([C@@H](C)O)C(O)=N1)C(=O)O.[212Pb+2],[0 1 0 ... 0 0 0],0.9581956,1
2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,COc1ccc(O)c(-c2nc3cc(C(N)=[NH2+])ccc3[nH]2)c1,[0 0 0 ... 0 0 0],0.95812285,1
Phenothrin,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,[0 0 0 ... 0 0 0],0.9580337,1
Amithiozone,CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,[0 0 0 ... 0 0 0],0.9579039,1
"4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL",Oc1ccc(-c2noc3cc(O)ccc23)c(O)c1,[0 0 0 ... 0 0 0],0.9578756,1
VM4-037,CC(C)[C@@H](C(=O)N[C@@H](Cc1ccc(OCCF)cc1)C(=O)O)n1cc(COc2ccc3nc(S(N)(=O)=O)sc3c2)nn1,[0 1 0 ... 0 0 0],0.95777136,1
Methyl red,CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,[0 0 0 ... 0 0 0],0.9576967,1
Roquinimex,CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1,[0 0 0 ... 0 0 0],0.95766103,1
Bilh 434,Cc1ccc2c(c1)C(=O)[C@]1(O[C@@H](c3ccc(Cl)c(Cl)c3)[C@@H](C(=O)Nc3ccc(-c4csnn4)cc3)[C@H]1C(=O)O)C2=O,[0 0 0 ... 0 0 0],0.9575996,1
TTI-101,COc1ccc(S(=O)(=O)Nc2cc(-c3c(O)ccc4ccccc34)c(O)c3ccccc23)cc1,[0 0 0 ... 0 0 0],0.9575581,1
T-5224,O=C(O)CCc1cc(C(=O)c2ccc(OC3CCCC3)cc2O)ccc1OCc1ccc2c(O)noc2c1,[0 0 0 ... 0 0 0],0.9572233,1
S-49076,O=C1Nc2ccc(CN3C(=O)CSC3=O)cc2/C1=C/c1cc(CN2CCOCC2)c[nH]1,[0 0 0 ... 0 0 0],0.9568361,1
N-Coeleneterazine,O=C1N2C=C(c3ccc(O)cc3)N[C@@H](Cc3ccccc3)C2=N[C@@]1(Cc1ccc2ccccc2c1)OO,[0 0 0 ... 0 0 0],0.956708,1
Linafexor,O=c1[nH]c(-c2ccc(N3[C@@H]4CC[C@H]3C[C@@H](OCc3c(-c5c(Cl)cccc5Cl)noc3C3CC3)C4)cc2F)no1,[0 0 0 ... 0 0 0],0.9565096,1
"2-(4-fluorophenyl)-N-{[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]carbamoyl}acetamide",O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,[0 0 1 ... 0 0 0],0.95649713,1
