SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1	431.884	2.1266	7	8	2	177.381	-2.902	0.743	73.429	-2.737	Yes	No	No	0.701	0.263	-1.686	-3.753	No	No	No	No	No	No	No	0.896	No	No	0.348	No	Yes	2.493	1.784	Yes	No	0.287	1.394
Cc1ccc(NS(=O)(=O)c2cccc(C#N)c2)c2[nH]cc(C#N)c12	336.376	3.02048	3	4	2	138.570	-3.575	0.671	88.407	-2.9	Yes	No	No	-0.121	0	-0.306	-2.25	No	Yes	Yes	Yes	Yes	No	No	0.822	No	No	0.137	No	Yes	2.531	1.399	Yes	No	0.58	0.474
CC(C)(C)NC1CCN(c2cc(NCc3ccc(Cl)cc3)nc3ccccc23)CC1	423.004	5.8572	5	4	2	184.196	-4.505	1.004	86.775	-2.788	Yes	Yes	Yes	1.717	0.121	0.45	-0.932	Yes	Yes	Yes	No	No	Yes	Yes	0.764	Yes	No	0.213	Yes	Yes	2.866	0.784	Yes	No	0.604	0.095
COc1cc(C(=O)c2c[nH]c(-c3c[nH]c4ccccc34)n2)cc(OC)c1OC	377.4	3.8148	6	5	2	160.827	-2.987	0.965	90.489	-2.735	Yes	No	Yes	0.273	0.081	-1.314	-2.48	Yes	No	Yes	Yes	Yes	No	Yes	0.997	Yes	Yes	0.37	No	Yes	2.032	2.395	No	No	0.285	-0.318
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12	254.241	2.8712	1	4	2	107.725	-3.74	0.942	93.87	-2.76	Yes	No	No	-0.306	0.184	-0.086	-1.987	No	No	Yes	Yes	Yes	Yes	Yes	0.391	No	No	0.813	No	No	2.116	0.95	No	No	0.553	-0.136
Nc1nc(=O)c2cc(C[C@H](C(=O)O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2[nH]1	482.449	0.964	10	7	6	196.974	-2.893	-0.624	0.441	-2.735	Yes	No	No	-0.322	0.151	-1.52	-4.363	No	Yes	No	No	No	No	No	0.254	No	No	0.055	No	Yes	2.505	2.567	Yes	No	0.285	2.846
Cc1cc(-c2cc(OC(=O)c3ccccc3)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12	580.088	7.09102	9	8	1	248.827	-3.609	1.069	92.835	-2.735	Yes	Yes	Yes	-0.99	0.321	-0.605	-2.95	No	Yes	No	No	No	No	Yes	0.577	Yes	No	0.314	No	Yes	3.056	2.119	Yes	No	0.285	-2.673
N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12	370.456	4.0771	7	4	2	163.464	-4.012	1.177	91.638	-2.788	No	Yes	Yes	0.941	0.092	-0.394	-2.348	No	Yes	Yes	Yes	No	No	Yes	1.046	No	No	0.443	No	Yes	2.994	1.212	Yes	No	0.346	-1.495
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12	270.24	2.5768	1	5	3	112.519	-3.124	1.115	91.433	-2.737	Yes	No	No	-0.199	0.174	-1.064	-2.185	No	No	Yes	Yes	Yes	No	No	0.592	No	No	0.927	No	Yes	2.427	1.573	No	No	0.385	0.486
O=C(/C=C/c1ccc(O)c2c1[C@H](C(=O)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O)[C@@H](c1ccc(O)c(O)c1)O2)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O	718.62	3.3345	12	14	9	292.421	-2.892	-1.642	23.043	-2.735	No	No	No	-0.218	0.312	-2.764	-4.539	No	No	No	No	No	No	No	-0.519	No	No	0.435	No	Yes	2.482	6.524	No	No	0.285	2.664
NC(=O)c1ccc[n+]([C@@H]2C[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	662.466	-2.3523	11	16	8	247.206	-2.884	0.033	26.003	-2.735	Yes	No	No	0.417	0.557	-2.616	-4.853	No	No	No	No	No	No	No	0.035	No	No	0.054	No	Yes	2.478	3.973	No	No	0.285	7.901
Cc1cccc(C2=C(c3ccc4ncccc4n3)CNN2)n1	289.342	2.30932	2	5	2	127.663	-3.629	0.981	99.181	-2.745	No	No	No	0.276	0.399	0.307	-3.229	No	No	Yes	No	No	No	No	0.758	No	Yes	-0.009	No	Yes	2.94	-0.135	Yes	No	0.284	2.747
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1	556.642	6.07332	8	7	3	237.118	-4.124	0.376	95.616	-2.735	Yes	Yes	Yes	-0.814	0.126	-1.553	-2.933	No	Yes	No	Yes	Yes	No	Yes	-0.406	No	No	0.305	No	Yes	2.958	1.455	Yes	No	0.285	0.321
COc1cc(Nc2nccc(N(C)c3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC	420.473	4.19862	7	8	2	179.539	-4.011	0.596	89.449	-2.748	Yes	Yes	Yes	0.082	0.105	-1.715	-3.294	No	Yes	Yes	Yes	Yes	No	Yes	0.126	No	No	0.732	No	Yes	3.037	1.665	Yes	No	0.294	1.272
COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3	357.274	3.0423	3	7	2	144.627	-3.356	0.061	73.601	-2.735	Yes	No	No	-1.449	0.081	-0.65	-3.201	No	No	Yes	No	Yes	No	No	0.485	No	No	0.325	No	No	2.671	1.822	No	No	0.285	0.547
NS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)cc1	350.377	1.9179	3	6	2	135.144	-3.427	0.941	81.286	-2.945	No	No	No	-0.652	0.162	-1.065	-3.148	No	Yes	No	No	No	No	No	-0.345	No	No	0.231	No	No	2.123	1.007	Yes	No	0.581	0.688
N#Cc1cc(Cl)cc(Oc2cc(OCc3n[nH]c4nc(N)ccc34)ccc2Cl)c1	426.263	5.08988	5	6	2	175.140	-3.527	0.378	87.764	-2.735	Yes	Yes	Yes	-0.251	0	-1.864	-2.525	No	No	Yes	Yes	Yes	No	Yes	-0.019	No	No	0.747	No	Yes	2.471	2.443	Yes	No	0.286	0.445
O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1	357.322	2.7103	7	6	4	147.177	-3.415	-0.642	28.839	-2.735	Yes	No	No	-1.277	0.181	-1.631	-3.429	No	No	No	No	No	No	No	0.604	No	No	1.23	No	No	2.252	1.66	No	No	0.285	1.807
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21	471.521	2.98597	9	7	4	201.092	-2.954	-0.44	57.219	-2.735	Yes	No	No	0.652	0.163	-1.37	-3.139	No	Yes	No	No	Yes	No	No	0.552	No	No	0.211	No	No	2.451	1.766	Yes	No	0.285	3.039
COc1ccc(F)cc1C[C@@](O)(C1CCOCC1)[C@@H]1CNCCO1	339.407	1.5229	5	5	2	141.649	-2.382	1.206	94.997	-3.167	Yes	No	No	0.43	0.459	-0.061	-2.872	No	No	No	No	No	No	No	0.876	Yes	No	-0.275	No	Yes	2.415	1.797	Yes	No	0.289	2.745
O=c1cc(C(F)(F)F)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1	392.221	4.4779	3	2	1	138.569	-5.753	1.597	87.174	-2.637	Yes	No	No	0.144	0.238	0.307	-2.926	No	Yes	Yes	Yes	No	No	No	0.142	No	No	0.262	No	No	2.697	0.606	No	No	1.268	1.03
N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)cc3)o2)S1	349.393	1.73267	3	6	3	135.668	-3.458	-0.239	78.028	-3.278	Yes	No	No	-0.288	0.282	-1.067	-3.114	No	Yes	Yes	No	No	No	No	-0.337	No	Yes	-0.103	No	No	2.471	1.36	Yes	No	0.685	1.694
C#CCOc1ccc(Nc2nc(Nc3ccc(C)c(S(=O)(=O)NC(=O)CC)c3)ncc2F)cc1	483.525	3.63822	9	8	3	196.390	-4.772	0.547	72.328	-2.739	Yes	Yes	Yes	-0.041	0.069	-1.62	-3.505	No	No	No	Yes	Yes	No	Yes	-0.077	No	No	0.536	No	Yes	2.293	1.901	Yes	No	0.292	0.444
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O	316.265	2.291	2	7	4	128.792	-3.298	0.112	80.666	-2.735	Yes	No	No	0.408	0.058	-1.363	-3.422	No	No	Yes	No	No	No	No	0.58	No	Yes	0.8	No	No	2.53	2.655	No	No	0.296	0.851
Cc1cc2nc3c4cc(Cl)ccc4n(CC(=O)NCCN(C)C)c3nc2cc1C	409.921	3.68574	5	5	1	174.029	-4.095	1.18	96.598	-2.804	Yes	Yes	Yes	1.083	0.192	0.256	-2.262	No	Yes	Yes	No	No	No	No	0.975	Yes	No	0.379	No	Yes	2.354	2.008	Yes	No	0.323	0.819
O=[N+]([O-])c1ccc(/C=C/c2cccc(CO)n2)o1	246.222	2.2455	4	5	1	102.355	-3.721	0.951	94.563	-2.821	No	No	No	-0.31	0.371	-0.535	-2.879	No	No	Yes	No	No	No	No	0.221	No	Yes	0.52	No	No	2.474	1.938	No	No	1.044	1.899
CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1	356.809	3.5642	3	4	1	149.240	-4.715	1.078	95.674	-2.783	No	No	Yes	-0.232	0.106	0.384	-2.004	No	Yes	No	Yes	Yes	No	No	0.119	No	Yes	0.461	No	Yes	2.666	1.474	Yes	No	0.413	-0.537
CCCC[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cnc(N2CCN(C)CC2)s1	425.602	3.9075	8	5	2	181.844	-3.938	0.913	91.7	-2.788	Yes	Yes	Yes	1.725	0.2	0.042	-2.524	Yes	Yes	Yes	No	No	No	Yes	1.055	No	No	-0.471	No	Yes	3.037	1.135	Yes	No	0.363	-0.866
CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1	308.337	2.5207	2	4	1	132.572	-4.128	1.089	97.353	-2.768	No	No	No	-0.315	0.11	0.43	-2.11	No	Yes	No	No	No	No	No	0.406	No	Yes	0.447	No	Yes	2.636	1.612	Yes	No	0.448	-0.023
CNc1ccc(-c2ccc3cc(OC[C@H](O)CF)ccc3n2)cn1	327.359	3.0477	6	5	2	138.692	-3.506	1.052	93.874	-2.993	Yes	Yes	No	0.059	0.279	0.013	-2.882	No	Yes	Yes	Yes	No	No	Yes	0.455	No	No	-0.16	No	Yes	2.469	1.177	Yes	No	0.323	2.301
COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C	318.768	2.13064	3	7	1	131.684	-2.476	0.992	89.849	-2.735	Yes	No	No	0.431	0.415	-1.252	-3.151	No	No	Yes	No	No	No	No	0.701	No	Yes	0.676	No	No	2.445	0.997	Yes	No	0.285	2.532
O=Cc1ccccc1O[P@@](=O)(O)OCc1ccccc1	292.227	3.1951	6	4	1	115.951	-3.9	1.007	89.798	-2.791	No	No	No	-0.609	0.038	-0.502	-2.434	No	Yes	Yes	Yes	No	No	No	0.136	No	No	0.858	No	Yes	2.07	1.372	No	No	0.62	-0.473
Cc1c(C(=O)Nc2ccc(S(C)(=O)=O)cc2)cn(CCO)c1-c1ccccc1C(F)(F)F	466.481	4.13042	6	5	2	182.782	-5.814	1.229	92.271	-2.783	Yes	Yes	Yes	-0.283	0	-0.593	-2.318	No	Yes	No	Yes	Yes	No	Yes	0.389	No	No	0.128	No	Yes	2.303	1.269	Yes	No	0.375	0.526
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1	560.68	5.8565	7	9	2	235.427	-2.933	1.081	100	-2.735	Yes	Yes	Yes	-0.285	0.109	-1.635	-2.124	No	Yes	No	Yes	Yes	No	Yes	0.379	Yes	No	0.216	No	Yes	2.428	0.871	Yes	No	0.285	0.405
COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(-c2nnco2)cc1	424.442	2.70642	6	9	1	171.618	-3.03	1.499	91.866	-2.735	No	Yes	Yes	-0.07	0.136	-0.991	-3.375	No	Yes	No	No	Yes	No	Yes	0.685	No	No	0.66	No	Yes	2.257	0.601	Yes	No	0.285	0.188
Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(Cc2ccccc2)c1	412.422	4.70464	7	3	3	170.329	-5.243	0.643	89.856	-2.737	Yes	Yes	Yes	-0.974	0.029	-1.011	-2.256	No	Yes	No	Yes	Yes	No	Yes	-0.451	No	No	0.231	No	Yes	2.366	2.602	Yes	No	0.295	-0.743
CCc1cccc2c1c(O)c(C(=O)N(CC)c1ccccc1)c(=O)n2C	350.418	3.4732	4	4	1	151.667	-4.578	1.35	96.134	-2.841	Yes	Yes	Yes	-0.018	0	0.549	-1.987	No	Yes	Yes	Yes	Yes	No	Yes	0.423	No	No	0.227	No	Yes	2.235	1.751	Yes	No	0.693	-0.243
O=C(O)c1cc(O)c2c3nc4ccccc4oc-3cc(=O)c2n1	308.249	2.2448	1	6	2	127.351	-3.702	0.704	60.438	-2.739	Yes	No	No	-0.522	0.118	-0.297	-3.015	No	No	No	No	No	No	No	0.672	No	Yes	0.156	No	No	2.439	1.496	Yes	No	0.293	1.252
COc1ccc(Cl)c(-c2ccc(NC(=O)c3ccnn3C)nc2N)c1	357.801	2.9786	4	6	2	148.935	-3.454	0.871	82.164	-2.754	Yes	No	No	0.042	0.213	-0.915	-3.35	No	No	Yes	Yes	No	No	Yes	-0.077	No	No	0.36	No	No	2.754	0.404	Yes	No	0.323	2.549
CC(C)N(C(=O)c1ccc(Cl)cc1Cl)c1cc(-c2ccccc2)sc1C(=O)O	434.344	6.4753	5	3	1	176.494	-3.056	1.492	97.017	-2.735	No	No	No	-2.049	0	-0.345	-1.575	No	No	No	No	Yes	No	No	0.138	No	No	0.794	No	No	2.398	0.726	No	No	0.285	-2.604
CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C	350.458	5.7605	6	3	0	155.196	-6.487	1.113	93.999	-2.596	No	No	Yes	0.349	0	0.058	-1.386	No	Yes	Yes	Yes	Yes	No	No	0.186	No	Yes	0.724	No	No	2.403	2.192	No	No	0.672	-1.817
CN(CCCCC(=O)O)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1	354.406	4.4563	9	4	1	152.087	-5.223	0.322	94.837	-2.734	Yes	No	No	-0.589	0	-0.512	-2.364	No	Yes	Yes	No	Yes	No	No	0.581	No	No	0.077	No	No	2.297	1.848	Yes	No	0.446	-0.825
NC(=[NH2+])c1ccc2[nH]c(-c3ccccc3O)cc2c1	252.297	1.0049	2	1	4	109.564	-3.035	0.607	50.446	-2.742	Yes	No	No	0.462	0.269	-0.33	-2.373	Yes	Yes	Yes	No	No	No	No	1.173	No	Yes	0.541	No	No	2.606	2.318	No	No	0.413	1.861
CC(=O)Nc1ccc(N2C(=O)[C@@H]3[C@H]4CC[C@](NC(=O)OCC(=O)O)(CC4)[C@@H]3C2=O)cc1	429.429	1.504	5	6	3	177.463	-3.36	-0.169	61.219	-2.735	Yes	No	No	-0.634	0.252	-1.148	-3.211	No	Yes	No	No	No	No	No	0.051	No	No	0.729	No	No	2.054	1.89	Yes	No	0.285	2.582
COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1	371.418	3.3402	6	6	3	150.898	-3.935	0.589	93.306	-2.736	Yes	No	Yes	0.046	0.022	-1.12	-2.684	No	No	Yes	Yes	Yes	No	Yes	0.39	No	No	0.735	No	Yes	2.371	1.868	Yes	No	0.307	0.53
CNC(=O)c1cc(Oc2ccc3nc(N[C@@H]4CCCC[C@H]4O)sc3c2)ccn1	398.488	3.5586	5	7	3	166.333	-3.377	1.218	89.415	-2.769	Yes	Yes	No	0.322	0.126	-1.478	-3.127	No	Yes	No	No	Yes	No	Yes	0.356	No	No	0.117	No	Yes	2.825	1.249	Yes	No	0.311	2.703
COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1	308.319	2.3816	5	6	2	123.471	-3.673	1.076	82.234	-2.841	Yes	No	No	-0.649	0.104	-0.888	-2.614	No	Yes	No	No	No	No	No	-0.029	No	Yes	0.599	No	No	2.169	1.886	Yes	No	0.501	1.429
Nc1nccc(-c2c3c(O)ccnc3n3c(N)nccc23)n1	293.29	1.2095	1	8	3	123.641	-2.694	0.477	83.693	-2.735	No	No	No	0.473	0.277	-1.377	-3.256	No	No	No	No	No	No	No	0.513	No	Yes	0.259	No	Yes	2.525	1.536	Yes	No	0.285	4.172
COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1	368.385	4.0941	4	6	3	155.133	-4.058	0.718	81.905	-2.736	Yes	No	Yes	0.134	0.053	-1.241	-2.248	No	No	Yes	Yes	Yes	No	No	0.404	No	No	1.041	No	Yes	2.23	2.485	No	No	0.345	-1.44
CC[C@]1(O)Cc2cc3c(c(O)c2[C@@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@@H]4C[C@H](O)[C@@H](O[C@H]5CCC(=O)[C@@H](C)O5)[C@H](C)O4)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O	753.842	3.4436	8	14	4	313.780	-3.336	0.185	80.503	-2.735	Yes	Yes	No	1.843	0.172	-2.046	-3.915	No	Yes	No	No	No	No	No	1.077	No	Yes	0.155	No	Yes	3.25	2.263	No	No	0.285	3.857
